mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
602.000	1.215	602.000	3511943672.829	1475.458	306.558	1782.015	0.172	-0.039	-0.398	-1.588	0.115
603.000	0.620	603.000	3511943674.330	682.917	984.398	1667.315	0.590	-0.039	-0.398	-1.588	0.115
604.000	0.620	604.000	3511943675.830	1563.814	250.318	1814.132	0.138	-0.039	-0.398	-0.690	0.115
605.000	1.599	605.000	3511943677.330	1227.040	4.637	1231.677	0.004	-0.039	-0.398	-0.690	0.115
606.000	1.599	606.000	3511943678.830	886.402	381.742	1268.144	0.301	-0.039	-0.398	-0.690	0.656
607.000	1.221	607.000	3511943680.339	884.360	367.435	1251.795	0.294	-0.039	-0.398	-0.690	0.656
608.000	1.221	608.000	3511943681.838	1175.225	90.576	1265.801	0.072	-1.411	-0.398	-0.690	0.656
609.000	-0.447	609.000	3511943683.338	1352.914	258.014	1610.927	0.160	-1.411	-0.398	-0.690	0.656
610.000	-0.447	610.000	3511943684.838	741.214	764.569	1505.783	0.508	-1.411	-1.991	-0.690	0.656
611.000	-2.728	611.000	3511943686.329	1174.381	508.825	1683.206	0.302	-1.411	-1.991	-0.690	0.656
612.000	-2.728	612.000	3511943687.828	745.210	953.022	1698.233	0.561	-1.411	-1.991	1.308	0.656
613.000	-3.836	613.000	3511943689.329	780.109	285.246	1065.354	0.268	-1.411	-1.991	1.308	0.656
614.000	-3.836	614.000	3511943690.839	630.969	503.497	1134.466	0.444	-1.411	-1.991	1.308	-0.977
615.000	-2.633	615.000	3511943692.330	1354.024	70.448	1424.472	0.049	-1.411	-1.991	1.308	-0.977
616.000	-2.633	616.000	3511943693.829	660.495	667.974	1328.469	0.503	1.529	-1.991	1.308	-0.977
617.000	-1.320	617.000	3511943695.329	1163.148	369.507	1532.655	0.241	1.529	-1.991	1.308	-0.977
618.000	-1.320	618.000	3511943696.830	983.949	581.937	1565.886	0.372	1.529	1.139	1.308	-0.977
619.000	-0.359	619.000	3511943698.330	1738.573	100.147	1838.719	0.054	1.529	1.139	1.308	-0.977
620.000	-0.359	620.000	3511943699.837	761.727	791.505	1553.232	0.510	1.529	1.139	0.775	-0.977
621.000	-0.998	621.000	3511943701.329	662.049	499.056	1161.105	0.430	1.529	1.139	0.775	-0.977
622.000	-0.998	622.000	3511943702.829	964.769	246.766	1211.534	0.204	1.529	1.139	0.775	1.995
623.000	-2.881	623.000	3511943704.329	606.593	609.070	1215.663	0.501	1.529	1.139	0.775	1.995
624.000	-2.881	624.000	3511943705.839	1302.875	-5.821	1297.054	-0.004	0.574	1.139	0.775	1.995
625.000	-2.494	625.000	3511943707.338	613.919	822.091	1436.011	0.572	0.574	1.139	0.775	1.995
626.000	-2.494	626.000	3511943708.830	1433.677	133.299	1566.976	0.085	0.574	2.003	0.775	1.995
627.000	-0.672	627.000	3511943710.330	690.199	815.382	1505.581	0.542	0.574	2.003	0.775	1.995
628.000	-0.672	628.000	3511943711.830	1317.172	422.590	1739.761	0.243	0.574	2.003	-0.995	1.995
629.000	0.454	629.000	3511943713.331	890.487	257.027	1147.514	0.224	0.574	2.003	-0.995	1.995
630.000	0.454	630.000	3511943714.830	1064.402	246.568	1310.970	0.188	0.574	2.003	-0.995	-2.224
631.000	2.940	631.000	3511943716.330	1137.352	218.054	1355.405	0.161	0.574	2.003	-0.995	-2.224
632.000	2.940	632.000	3511943717.829	1045.088	317.707	1362.795	0.233	-2.145	2.003	-0.995	-2.224
