Trace
Log Plot
A.14.05,N9000A
1254103.36554475,-119.99091585286
1288249.55169313,-119.77117119664
1323325.45548722,-119.542468705041
1359356.39087852,-119.352415420272
1396368.36105594,-119.168527086871
1434388.07721197,-119.033312223092
1473442.97781996,-118.971762618768
1513561.24843621,-119.032597672828
1554771.84204117,-119.169631229366
1597104.4999346,-119.175759921361
1640589.77319954,-119.088064626949
1685259.04475075,-118.92593792487
1731144.55198349,-118.985617076241
1778279.41003892,-118.83221815603
1826697.635703,-118.672979099816
1876434.17195608,-118.585861650335
1927524.91319094,-118.668371490161
1980006.73111739,-118.811772513256
2033917.50137229,-118.895981507005
2089296.13085404,-118.832625262925
2146182.58580128,-118.970753213435
2204617.92063618,-119.24432905676
2264644.30759306,-119.418221405275
2326305.06715363,-119.62984133382
2389644.69931102,-119.773498004311
2454708.91568503,-119.968151692761
2521544.67251172,-120.075076521679
2590200.20453132,-120.118265556903
2660725.05979881,-120.081788614138
2733170.13544223,-120.05503274799
2807587.71439473,-119.858547296225
2884031.50312661,-119.610796886018
2962556.67040481,-119.552631375349
3043219.88710772,-119.423417053503
3126079.36712396,-119.397593549819
3211194.90936482,-119.313927315843
3298627.94092063,-119.311360843743
3388441.56139203,-119.290464553516
3480700.58842841,-119.250195917244
3575471.60450621,-119.268256837385
3672823.00498085,-119.309364936138
3772825.04744699,-119.331085535145
3875549.90244286,-119.344362039289
3981071.70553498,-119.300095087634
4089466.61082112,-119.290729522504
4200812.84589007,-119.314535099122
4315190.76827766,-119.305139598464
4432682.92346009,-119.255322956003
4553374.10442625,-119.196952508761
4677351.41287199,-119.097005895018
4804704.32206058,-119.060941592223
4935524.74139481,-119.15070987466
5069907.08274704,-119.108180377934
5207948.32859546,-119.152080023653
5349748.10201537,-119.27159973485
5495408.73857624,-119.446675294322
5645035.36019636,-119.671908362874
5798735.95100831,-119.84925947931
5956621.4352901,-119.879185727476
6118805.75751822,-119.876625095682
6285405.96460025,-119.972367310551
6456542.29034655,-120.092273714664
6632338.2422419,-120.078561953863
6812920.69057962,-120.092203435123
6998419.96002273,-120.076401413181
7188969.92365807,-120.110017340094
7384708.09961117,-120.023898616704
7585775.75029183,-119.927134889764
7792317.98434194,-119.752543137966
8004483.86135892,-119.669176250962
8222426.49947071,-119.681626585992
8446303.18583969,-119.591356324468
8676275.49017531,-119.624562066295
8912509.38133745,-119.574080112203
9155175.34711467,-119.465431801185
9404448.51726353,-119.438968234219
9660508.78989813,-119.320383873563
9923540.96132101,-119.146690369254
10193734.8593887,-118.935880270321
10471285.480509,-118.718482186649
10756393.1303677,-118.557656921345
11049263.5684876,-118.389422648922
11350108.1567231,-118.236257975326
11659144.0117983,-118.182557642785
11976594.1619977,-118.106818515929
12302687.7081238,-118.183155358688
12637659.9888374,-118.073077866754
12981752.7504985,-117.917577764883
13335214.3216332,-117.901965497605
13698299.7921497,-117.888922244485
14071271.1974341,-117.937716834802
14454397.7074593,-118.015985214812
14847955.8210421,-118.032010302579
15252229.5653902,-117.94539232153
15667510.7010815,-117.915093922859
16094098.9326254,-117.784683612542
16532302.1247563,-117.752975045888
16982436.5246174,-117.760765414451
17444826.9899926,-117.918968532598
17919807.2237533,-118.012621557002
18407720.0146896,-118.095455914857
18908917.4848964,-118.128677897223
19423761.3438978,-118.223631803193
19952623.1496888,-118.245845910305
20495884.5768853,-118.375432169848
21053937.6921755,-118.590789112123
21627185.2372702,-118.773386838689
22216040.9195581,-118.911857586656
22820929.7106745,-118.877993436747
23442288.1531992,-118.931158197295
24080564.6757054,-119.062057535123
24736219.9163862,-119.121845663628
25409727.0554931,-119.14445484191
26101572.1568254,-119.191643234921
26812254.5185183,-119.222311563028
27542287.0333817,-119.132931779616
28292196.5590495,-119.132071703806
29062524.2982087,-119.124166353801
29853826.1891796,-119.122167915163
30666673.3071318,-119.166718836054
31501652.2762236,-119.18845118801
32359365.6929629,-119.072931428074
33240432.5610958,-118.994157831663
34145488.738336,-119.070326630081
35075187.3952568,-119.089456829598
36030199.4866785,-119.019853518824
37011214.2358903,-119.027440786966
