mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
469.000	3.269	469.000	3514346703.405	1925.363	121.755	2047.118	0.059	0.156	1.749	0.365	-1.451
470.000	3.269	470.000	3514346704.906	581.774	1110.001	1691.775	0.656	0.156	1.749	0.365	-0.578
471.000	5.448	471.000	3514346706.406	1426.307	492.347	1918.654	0.257	0.156	1.749	0.365	-0.578
472.000	5.448	472.000	3514346707.906	1495.527	330.435	1825.962	0.181	0.820	1.749	0.365	-0.578
473.000	4.779	473.000	3514346709.406	1285.914	630.777	1916.691	0.329	0.820	1.749	0.365	-0.578
484.000	-3.864	484.000	3514346725.906	889.200	754.110	1643.310	0.459	-2.245	-0.334	-1.492	-0.666
485.000	-0.954	485.000	3514346727.406	1604.928	346.715	1951.643	0.178	-2.245	-0.334	-1.492	-0.666
486.000	-0.954	486.000	3514346728.906	1845.443	299.256	2144.699	0.140	-2.245	-0.334	-1.492	0.912
487.000	-0.239	487.000	3514346730.408	1756.821	334.579	2091.400	0.160	-2.245	-0.334	-1.492	0.912
488.000	-0.239	488.000	3514346731.906	1655.411	70.152	1725.563	0.041	1.613	-0.334	-1.492	0.912
489.000	-0.141	489.000	3514346733.406	1406.238	497.971	1904.209	0.262	1.613	-0.334	-1.492	0.912
490.000	-0.141	490.000	3514346734.906	1595.027	429.398	2024.425	0.212	1.613	2.570	-1.492	0.912
491.000	1.088	491.000	3514346736.406	1249.595	769.403	2018.998	0.381	1.613	2.570	-1.492	0.912
492.000	1.088	492.000	3514346737.907	1863.736	76.368	1940.104	0.039	1.613	2.570	-0.335	0.912
493.000	2.940	493.000	3514346739.406	1368.098	350.760	1718.859	0.204	1.613	2.570	-0.335	0.912
494.000	2.940	494.000	3514346740.907	1543.079	218.547	1761.626	0.124	1.613	2.570	-0.335	-1.050
495.000	5.495	495.000	3514346742.407	1629.393	174.739	1804.132	0.097	1.613	2.570	-0.335	-1.050
496.000	5.495	496.000	3514346743.906	1625.929	316.720	1942.650	0.163	-0.435	2.570	-0.335	-1.050
497.000	3.635	497.000	3514346745.406	1254.301	440.547	1694.848	0.260	-0.435	2.570	-0.335	-1.050
498.000	3.635	498.000	3514346746.906	1285.337	618.246	1903.583	0.325	-0.435	-3.007	-0.335	-1.050
499.000	-1.000	499.000	3514346748.407	1203.197	652.483	1855.680	0.352	-0.435	-3.007	-0.335	-1.050
500.000	-1.000	500.000	3514346749.906	766.434	1319.964	2086.397	0.633	-0.435	-3.007	-0.704	-1.050
501.000	1.513	501.000	3514346751.406	1778.355	18.648	1797.003	0.010	-0.435	-3.007	-0.704	-1.050
502.000	1.513	502.000	3514346752.908	1896.681	-53.083	1843.598	-0.029	-0.435	-3.007	-0.704	0.582
503.000	2.710	503.000	3514346754.408	1602.220	159.347	1761.567	0.090	-0.435	-3.007	-0.704	0.582
504.000	2.710	504.000	3514346755.905	1665.490	400.784	2066.274	0.194	0.571	-3.007	-0.704	0.582
505.000	1.901	505.000	3514346757.406	655.167	831.761	1486.928	0.559	0.571	-3.007	-0.704	0.582
506.000	1.901	506.000	3514346758.908	1583.350	355.792	1939.142	0.183	0.571	2.473	-0.704	0.582
507.000	2.902	507.000	3514346760.407	653.791	1275.465	1929.256	0.661	0.571	2.473	-0.704	0.582
516.000	-3.045	516.000	3514346773.906	767.810	1204.721	1972.531	0.611	-3.308	-2.049	-0.132	0.911
517.000	-1.089	517.000	3514346775.408	1760.018	104.389	1864.407	0.056	-3.308	-2.049	-0.132	0.911
518.000	-1.089	518.000	3514346776.909	1825.064	228.710	2053.773	0.111	-3.308	-2.049	-0.132	-0.005
519.000	0.514	519.000	3514346778.408	1756.865	-11.051	1745.814	-0.006	-3.308	-2.049	-0.132	-0.005
520.000	0.514	520.000	3514346779.907	1644.134	507.542	2151.675	0.236	2.011	-2.049	-0.132	-0.005
521.000	1.097	521.000	3514346781.407	1338.972	473.502	1812.474	0.261	2.011	-2.049	-0.132	-0.005
532.000	2.139	532.000	3514346797.909	1764.502	534.478	2298.980	0.232	1.392	-2.081	0.721	2.131
533.000	3.027	533.000	3514346799.409	1781.996	266.696	2048.692	0.130	1.392	-2.081	0.721	2.131
548.000	3.982	548.000	3514346821.908	1704.518	647.451	2351.969	0.275	2.496	3.729	-2.088	0.275
549.000	7.586	549.000	3514346823.408	1824.886	71.928	1896.814	0.038	2.496	3.729	-2.088	0.275
550.000	7.586	550.000	3514346824.908	1010.811	754.801	1765.612	0.428	2.496	3.729	-2.088	-1.018
551.000	10.075	551.000	3514346826.409	1968.742	32.659	2001.401	0.016	2.496	3.729	-2.088	-1.018
552.000	10.075	552.000	3514346827.920	1831.502	329.547	2161.049	0.152	-0.610	3.729	-2.088	-1.018
553.000	7.993	553.000	3514346829.408	1394.472	681.787	2076.260	0.328	-0.610	3.729	-2.088	-1.018
554.000	7.993	554.000	3514346830.921	1320.146	625.745	1945.891	0.322	-0.610	-0.124	-2.088	-1.018
555.000	6.584	555.000	3514346832.408	1226.729	852.086	2078.815	0.410	-0.610	-0.124	-2.088	-1.018
556.000	6.584	556.000	3514346833.908	1722.855	459.984	2182.839	0.211	-0.610	-0.124	3.428	-1.018
557.000	4.512	557.000	3514346835.409	2000.755	264.427	2265.182	0.117	-0.610	-0.124	3.428	-1.018
566.000	1.691	566.000	3514346848.909	1407.615	535.169	1942.783	0.275	-0.060	-1.753	1.200	-0.082
567.000	3.221	567.000	3514346850.410	1958.131	211.936	2170.067	0.098	-0.060	-1.753	1.200	-0.082
568.000	3.221	568.000	3514346851.909	932.401	800.779	1733.180	0.462	-0.001	-1.753	1.200	-0.082
569.000	1.833	569.000	3514346853.408	1687.601	725.003	2412.605	0.301	-0.001	-1.753	1.200	-0.082
570.000	1.833	570.000	3514346854.919	1064.402	676.755	1741.158	0.389	-0.001	0.065	1.200	-0.082
571.000	0.409	571.000	3514346856.408	1119.769	703.889	1823.658	0.386	-0.001	0.065	1.200	-0.082
572.000	0.409	572.000	3514346857.919	1438.206	543.851	1982.058	0.274	-0.001	0.065	1.357	-0.082
573.000	0.197	573.000	3514346859.408	1901.565	251.798	2153.363	0.117	-0.001	0.065	1.357	-0.082
574.000	0.197	574.000	3514346860.909	1802.731	191.414	1994.144	0.096	-0.001	0.065	1.357	3.206
575.000	-1.519	575.000	3514346862.409	1456.011	294.224	1750.235	0.168	-0.001	0.065	1.357	3.206
576.000	-1.519	576.000	3514346863.910	1778.710	238.083	2016.793	0.118	0.776	0.065	1.357	3.206
577.000	-2.083	577.000	3514346865.409	806.704	880.404	1687.108	0.522	0.776	0.065	1.357	3.206
578.000	-2.083	578.000	3514346866.910	1126.651	757.267	1883.918	0.402	0.776	-0.982	1.357	3.206
579.000	-4.526	579.000	3514346868.410	1570.074	697.969	2268.043	0.308	0.776	-0.982	1.357	3.206
580.000	-4.526	580.000	3514346869.910	1420.269	579.371	1999.640	0.290	0.776	-0.982	-0.184	3.206
581.000	-2.965	581.000	3514346871.410	1893.795	255.843	2149.638	0.119	0.776	-0.982	-0.184	3.206
582.000	-2.965	582.000	3514346872.910	1992.363	207.694	2200.057	0.094	0.776	-0.982	-0.184	-0.440
583.000	-1.227	583.000	3514346874.410	1146.187	589.041	1735.228	0.339	0.776	-0.982	-0.184	-0.440
584.000	-1.227	584.000	3514346875.920	1712.865	215.488	1928.353	0.112	-1.055	-0.982	-0.184	-0.440
